School_Id,Suburb,State Code,Address,School_Information,Latitude,Longitude,ICSEA_Value,Student_number,,Postcode
8440,Warners Bay ,NSW,"Warners Bay High School, 1 Myles Ave, Postcode-2282","Secondary School (Coed, Year 7 to Year 12)",-32.967703,151.653691,1029,1287,,2282
8442,Gundagai,NSW,"Gundagai High School, 157 Hanley St, Postcode-2722","Secondary School (Coed, Year 7 to Year 12)",-35.057144,148.099421,925,209,,2722
8443,St Marys,NSW,"Colyton High School, 37-53 Carpenter St, Postcode-2760","Secondary School (Coed, Year 7 to Year 12)",-33.777602,150.797336,896,706,,2760
8444,Orange ,NSW,"Canobolas Rural Technology High School, Icely Rd, Postcode-2800","Secondary School (Coed, Year 7 to Year 12)",-33.291759,149.121741,872,597,,2800
8446,Springwood,NSW,"Springwood High School, 111 Grose Road, Postcode-2777","Secondary School (Coed, Year 7 to Year 12)",-33.685057,150.550608,1040,674,,2777
8447,Carlingford ,NSW,"Carlingford High School, North Rocks Rd, Postcode-2118","Secondary School (Coed, Year 7 to Year 12)",-33.765412,151.050764,1101,1180,,2118
8448,Bomaderry ,NSW,"Bomaderry High School, Cambewarra Rd, Postcode-2541","Secondary School (Coed, Year 7 to Year 12)",-34.844038,150.602725,968,718,,2541
8449,Figtree ,NSW,"Figtree High School, Gibsons Rd, Postcode-2525","Secondary School (Coed, Year 7 to Year 12)",-34.438352,150.855197,999,996,,2525
8450,Tumbarumba ,NSW,"Tumbarumba High School, 101 Tooma Road, Postcode-2653","Secondary School (Coed, Year 7 to Year 12)",-35.783098,148.018245,944,164,,2653
8451,Coonamble ,NSW,"Coonamble High School, Aberford St, Postcode-2829","Secondary School (Coed, Year 7 to Year 12)",-30.955763,148.391351,779,218,,2829
8452,Crookwell,NSW,"Crookwell High School, Crown Street, Postcode-2583","Secondary School (Coed, Year 7 to Year 12)",-34.452754,149.466967,972,236,,2583
8453,Dorrigo ,NSW,"Dorrigo High School, Waterfall Way, Postcode-2453","Secondary School (Coed, Year 7 to Year 12)",-30.339222,152.705492,966,168,,2453
8454,Avalon ,NSW,"Barrenjoey High School, Coonanga Road, Postcode-2107","Secondary School (Coed, Year 7 to Year 12)",-33.63117,151.333926,1084,700,,2107
8455,North Tamworth,NSW,"Oxley High School, Piper St, Postcode-2340","Secondary School (Coed, Year 7 to Year 12)",-31.077903,150.939078,949,903,,2340
8456,Fairfield West ,NSW,"Fairvale High School, Thorney Rd & Maude St, Postcode-2165","Secondary School (Coed, Year 7 to Year 12)",-33.873614,150.929459,917,1378,,2165
8457,Killara ,NSW,"Killara High School, Koola Ave, Postcode-2071","Secondary School (Coed, Year 7 to Year 12)",-33.756575,151.174102,1150,1618,,2071
8458,Kingswood ,NSW,"Kingswood High School, Bringelly Rd, Postcode-2747","Secondary School (Coed, Year 7 to Year 12)",-33.770416,150.715263,932,709,,2747
